id,label
TEST_000,오염
TEST_001,훼손
TEST_002,몰딩수정
TEST_003,오염
TEST_004,오염
TEST_005,터짐
TEST_006,오염
TEST_007,곰팡이
TEST_008,오염
TEST_009,훼손
TEST_010,꼬임
TEST_011,꼬임
TEST_012,훼손
TEST_013,오염
TEST_014,훼손
TEST_015,피스
TEST_016,면불량
TEST_017,녹오염
TEST_018,훼손
TEST_019,오염
TEST_020,훼손
TEST_021,들뜸
TEST_022,걸레받이수정
TEST_023,꼬임
TEST_024,오염
TEST_025,훼손
TEST_026,꼬임
TEST_027,훼손
TEST_028,오염
TEST_029,터짐
TEST_030,훼손
TEST_031,몰딩수정
TEST_032,오타공
TEST_033,꼬임
TEST_034,오염
TEST_035,훼손
TEST_036,훼손
TEST_037,몰딩수정
TEST_038,곰팡이
TEST_039,오염
TEST_040,훼손
TEST_041,훼손
TEST_042,오염
TEST_043,가구수정
TEST_044,오염
TEST_045,훼손
TEST_046,훼손
TEST_047,오염
TEST_048,꼬임
TEST_049,훼손
TEST_050,오염
TEST_051,오염
TEST_052,오염
TEST_053,훼손
TEST_054,꼬임
TEST_055,훼손
TEST_056,훼손
TEST_057,터짐
TEST_058,오타공
TEST_059,오염
TEST_060,오염
TEST_061,곰팡이
TEST_062,훼손
TEST_063,석고수정
TEST_064,오염
TEST_065,오염
TEST_066,터짐
TEST_067,터짐
TEST_068,훼손
TEST_069,면불량
TEST_070,꼬임
TEST_071,훼손
TEST_072,훼손
TEST_073,훼손
TEST_074,훼손
TEST_075,터짐
TEST_076,오염
TEST_077,곰팡이
TEST_078,오염
TEST_079,오염
TEST_080,훼손
TEST_081,훼손
TEST_082,면불량
TEST_083,꼬임
TEST_084,걸레받이수정
TEST_085,훼손
TEST_086,면불량
TEST_087,훼손
TEST_088,훼손
TEST_089,오염
TEST_090,가구수정
TEST_091,오염
TEST_092,오염
TEST_093,훼손
TEST_094,오염
TEST_095,오타공
TEST_096,터짐
TEST_097,훼손
TEST_098,몰딩수정
TEST_099,오염
TEST_100,"창틀,문틀수정"
TEST_101,오타공
TEST_102,훼손
TEST_103,훼손
TEST_104,훼손
TEST_105,훼손
TEST_106,훼손
TEST_107,오염
TEST_108,터짐
TEST_109,면불량
TEST_110,훼손
TEST_111,오염
TEST_112,피스
TEST_113,훼손
TEST_114,훼손
TEST_115,훼손
TEST_116,오염
TEST_117,터짐
TEST_118,오타공
TEST_119,녹오염
TEST_120,훼손
TEST_121,녹오염
TEST_122,훼손
TEST_123,오염
TEST_124,훼손
TEST_125,훼손
TEST_126,오염
TEST_127,오염
TEST_128,오염
TEST_129,훼손
TEST_130,훼손
TEST_131,오염
TEST_132,훼손
TEST_133,오염
TEST_134,오염
TEST_135,훼손
TEST_136,훼손
TEST_137,오염
TEST_138,오염
TEST_139,터짐
