id,label
TEST_000,훼손
TEST_001,훼손
TEST_002,훼손
TEST_003,오염
TEST_004,훼손
TEST_005,훼손
TEST_006,훼손
TEST_007,훼손
TEST_008,오염
TEST_009,오타공
TEST_010,몰딩수정
TEST_011,오타공
TEST_012,훼손
TEST_013,훼손
TEST_014,훼손
TEST_015,오염
TEST_016,훼손
TEST_017,오염
TEST_018,훼손
TEST_019,오염
TEST_020,곰팡이
TEST_021,훼손
TEST_022,훼손
TEST_023,터짐
TEST_024,몰딩수정
TEST_025,훼손
TEST_026,훼손
TEST_027,훼손
TEST_028,훼손
TEST_029,훼손
TEST_030,오염
TEST_031,훼손
TEST_032,훼손
TEST_033,오염
TEST_034,오염
TEST_035,훼손
TEST_036,오염
TEST_037,훼손
TEST_038,훼손
TEST_039,훼손
TEST_040,오염
TEST_041,훼손
TEST_042,오염
TEST_043,오염
TEST_044,훼손
TEST_045,훼손
TEST_046,오염
TEST_047,훼손
TEST_048,오염
TEST_049,오염
TEST_050,오염
TEST_051,훼손
TEST_052,훼손
TEST_053,오염
TEST_054,훼손
TEST_055,훼손
TEST_056,터짐
TEST_057,훼손
TEST_058,오염
TEST_059,훼손
TEST_060,오타공
TEST_061,몰딩수정
TEST_062,훼손
TEST_063,꼬임
TEST_064,훼손
TEST_065,훼손
TEST_066,오염
TEST_067,오염
TEST_068,훼손
TEST_069,터짐
TEST_070,오염
TEST_071,오염
TEST_072,훼손
TEST_073,오염
TEST_074,오타공
TEST_075,터짐
TEST_076,훼손
TEST_077,오염
TEST_078,훼손
TEST_079,면불량
TEST_080,훼손
TEST_081,석고수정
TEST_082,훼손
TEST_083,오타공
TEST_084,걸레받이수정
TEST_085,오염
TEST_086,훼손
TEST_087,오염
TEST_088,울음
TEST_089,훼손
TEST_090,훼손
TEST_091,훼손
TEST_092,훼손
TEST_093,오염
TEST_094,훼손
TEST_095,훼손
TEST_096,훼손
TEST_097,피스
TEST_098,훼손
TEST_099,오염
TEST_100,피스
TEST_101,훼손
TEST_102,오염
TEST_103,터짐
TEST_104,오타공
TEST_105,훼손
TEST_106,훼손
TEST_107,훼손
TEST_108,훼손
TEST_109,훼손
TEST_110,오염
TEST_111,훼손
TEST_112,훼손
TEST_113,훼손
TEST_114,오염
TEST_115,터짐
TEST_116,훼손
TEST_117,훼손
TEST_118,훼손
TEST_119,훼손
TEST_120,훼손
TEST_121,훼손
TEST_122,훼손
TEST_123,꼬임
TEST_124,훼손
TEST_125,훼손
TEST_126,훼손
TEST_127,훼손
TEST_128,훼손
TEST_129,석고수정
TEST_130,꼬임
TEST_131,오염
TEST_132,꼬임
TEST_133,오염
