id,label
TEST_000,들뜸
TEST_001,훼손
TEST_002,훼손
TEST_003,몰딩수정
TEST_004,오염
TEST_005,훼손
TEST_006,오염
TEST_007,훼손
TEST_008,훼손
TEST_009,오타공
TEST_010,몰딩수정
TEST_011,피스
TEST_012,훼손
TEST_013,오염
TEST_014,훼손
TEST_015,훼손
TEST_016,훼손
TEST_017,걸레받이수정
TEST_018,훼손
TEST_019,오염
TEST_020,곰팡이
TEST_021,훼손
TEST_022,훼손
TEST_023,터짐
TEST_024,꼬임
TEST_025,훼손
TEST_026,면불량
TEST_027,오염
TEST_028,훼손
TEST_029,훼손
TEST_030,훼손
TEST_031,훼손
TEST_032,훼손
TEST_033,오염
TEST_034,훼손
TEST_035,훼손
TEST_036,훼손
TEST_037,오염
TEST_038,훼손
TEST_039,몰딩수정
TEST_040,오염
TEST_041,"창틀,문틀수정"
TEST_042,터짐
TEST_043,석고수정
TEST_044,훼손
TEST_045,오염
TEST_046,오염
TEST_047,훼손
TEST_048,오염
TEST_049,오염
TEST_050,오염
TEST_051,걸레받이수정
TEST_052,훼손
TEST_053,훼손
TEST_054,훼손
TEST_055,훼손
TEST_056,오염
TEST_057,석고수정
TEST_058,오염
TEST_059,훼손
TEST_060,오타공
TEST_061,꼬임
TEST_062,훼손
TEST_063,오염
TEST_064,훼손
TEST_065,울음
TEST_066,훼손
TEST_067,면불량
TEST_068,오염
TEST_069,훼손
TEST_070,오염
TEST_071,오염
TEST_072,오염
TEST_073,오염
TEST_074,오타공
TEST_075,훼손
TEST_076,훼손
TEST_077,오염
TEST_078,걸레받이수정
TEST_079,훼손
TEST_080,훼손
TEST_081,오염
TEST_082,오염
TEST_083,훼손
TEST_084,훼손
TEST_085,훼손
TEST_086,훼손
TEST_087,석고수정
TEST_088,오염
TEST_089,걸레받이수정
TEST_090,오염
TEST_091,훼손
TEST_092,훼손
TEST_093,터짐
TEST_094,훼손
TEST_095,훼손
TEST_096,터짐
TEST_097,피스
TEST_098,오염
TEST_099,훼손
TEST_100,훼손
TEST_101,훼손
TEST_102,훼손
TEST_103,터짐
TEST_104,훼손
TEST_105,오염
TEST_106,가구수정
TEST_107,훼손
TEST_108,훼손
TEST_109,훼손
TEST_110,오염
TEST_111,훼손
TEST_112,훼손
TEST_113,훼손
TEST_114,오염
TEST_115,오염
TEST_116,훼손
TEST_117,훼손
TEST_118,석고수정
TEST_119,훼손
TEST_120,훼손
TEST_121,가구수정
TEST_122,오염
TEST_123,터짐
TEST_124,훼손
TEST_125,오염
TEST_126,훼손
TEST_127,훼손
TEST_128,훼손
TEST_129,들뜸
TEST_130,훼손
TEST_131,꼬임
TEST_132,꼬임
TEST_133,오염
TEST_134,오타공
TEST_135,오염
TEST_136,훼손
TEST_137,오염
TEST_138,훼손
TEST_139,오염
TEST_140,면불량
TEST_141,훼손
TEST_142,오염
TEST_143,오염
TEST_144,훼손
TEST_145,훼손
TEST_146,오타공
TEST_147,훼손
TEST_148,훼손
TEST_149,꼬임
TEST_150,훼손
TEST_151,곰팡이
TEST_152,훼손
TEST_153,훼손
TEST_154,훼손
TEST_155,훼손
TEST_156,꼬임
TEST_157,곰팡이
TEST_158,훼손
TEST_159,곰팡이
TEST_160,오염
TEST_161,훼손
TEST_162,훼손
TEST_163,훼손
TEST_164,훼손
TEST_165,훼손
TEST_166,오염
TEST_167,훼손
TEST_168,훼손
TEST_169,훼손
TEST_170,훼손
TEST_171,오염
TEST_172,훼손
TEST_173,오염
TEST_174,오염
TEST_175,훼손
TEST_176,오염
TEST_177,훼손
TEST_178,석고수정
TEST_179,들뜸
TEST_180,훼손
TEST_181,가구수정
TEST_182,오염
TEST_183,울음
TEST_184,오염
TEST_185,훼손
TEST_186,훼손
TEST_187,훼손
TEST_188,꼬임
TEST_189,꼬임
TEST_190,훼손
TEST_191,훼손
TEST_192,훼손
TEST_193,훼손
TEST_194,훼손
TEST_195,곰팡이
TEST_196,훼손
TEST_197,훼손
TEST_198,훼손
TEST_199,오염
TEST_200,훼손
TEST_201,꼬임
TEST_202,오염
TEST_203,몰딩수정
TEST_204,몰딩수정
TEST_205,꼬임
TEST_206,울음
TEST_207,훼손
TEST_208,터짐
TEST_209,훼손
TEST_210,꼬임
TEST_211,오염
TEST_212,훼손
TEST_213,오염
TEST_214,오염
TEST_215,가구수정
TEST_216,훼손
TEST_217,훼손
TEST_218,오염
TEST_219,훼손
TEST_220,훼손
TEST_221,훼손
TEST_222,훼손
TEST_223,오염
TEST_224,석고수정
TEST_225,훼손
TEST_226,훼손
TEST_227,훼손
TEST_228,훼손
TEST_229,훼손
TEST_230,훼손
TEST_231,훼손
TEST_232,오염
TEST_233,훼손
TEST_234,오염
TEST_235,훼손
TEST_236,몰딩수정
TEST_237,훼손
TEST_238,면불량
TEST_239,오염
TEST_240,훼손
TEST_241,훼손
TEST_242,오염
TEST_243,오염
TEST_244,오염
TEST_245,훼손
TEST_246,훼손
TEST_247,훼손
TEST_248,훼손
TEST_249,몰딩수정
TEST_250,훼손
TEST_251,오타공
TEST_252,훼손
TEST_253,훼손
TEST_254,훼손
TEST_255,훼손
TEST_256,녹오염
TEST_257,몰딩수정
TEST_258,훼손
TEST_259,터짐
TEST_260,오타공
TEST_261,오염
TEST_262,훼손
TEST_263,석고수정
TEST_264,몰딩수정
TEST_265,오염
TEST_266,훼손
TEST_267,꼬임
TEST_268,오염
TEST_269,터짐
TEST_270,꼬임
TEST_271,걸레받이수정
TEST_272,훼손
TEST_273,오염
TEST_274,훼손
TEST_275,훼손
TEST_276,훼손
TEST_277,오염
TEST_278,"창틀,문틀수정"
TEST_279,몰딩수정
TEST_280,훼손
TEST_281,오염
TEST_282,피스
TEST_283,오염
TEST_284,오염
TEST_285,터짐
TEST_286,훼손
TEST_287,오염
TEST_288,훼손
TEST_289,훼손
TEST_290,오염
TEST_291,터짐
TEST_292,꼬임
TEST_293,훼손
TEST_294,몰딩수정
TEST_295,훼손
TEST_296,오염
TEST_297,오타공
TEST_298,오염
TEST_299,오염
TEST_300,오염
TEST_301,훼손
TEST_302,오염
TEST_303,오염
TEST_304,훼손
TEST_305,터짐
TEST_306,오타공
TEST_307,면불량
TEST_308,훼손
TEST_309,오염
TEST_310,훼손
TEST_311,피스
TEST_312,피스
TEST_313,오염
TEST_314,훼손
TEST_315,훼손
TEST_316,오염
TEST_317,훼손
TEST_318,"창틀,문틀수정"
TEST_319,꼬임
TEST_320,걸레받이수정
TEST_321,틈새과다
TEST_322,피스
TEST_323,훼손
TEST_324,오염
TEST_325,훼손
TEST_326,훼손
TEST_327,훼손
TEST_328,훼손
TEST_329,걸레받이수정
TEST_330,훼손
TEST_331,꼬임
TEST_332,오염
TEST_333,오염
TEST_334,훼손
TEST_335,오염
TEST_336,훼손
TEST_337,오타공
TEST_338,훼손
TEST_339,오염
TEST_340,오타공
TEST_341,훼손
TEST_342,훼손
TEST_343,피스
TEST_344,훼손
TEST_345,훼손
TEST_346,터짐
TEST_347,훼손
TEST_348,오염
TEST_349,꼬임
TEST_350,훼손
TEST_351,터짐
TEST_352,오염
TEST_353,걸레받이수정
TEST_354,오염
TEST_355,오염
TEST_356,오타공
TEST_357,몰딩수정
TEST_358,오염
TEST_359,오염
TEST_360,훼손
TEST_361,오염
TEST_362,훼손
TEST_363,훼손
TEST_364,훼손
TEST_365,오염
TEST_366,훼손
TEST_367,훼손
TEST_368,훼손
TEST_369,훼손
TEST_370,피스
TEST_371,터짐
TEST_372,훼손
TEST_373,훼손
TEST_374,훼손
TEST_375,오염
TEST_376,훼손
TEST_377,훼손
TEST_378,훼손
TEST_379,오염
TEST_380,훼손
TEST_381,훼손
TEST_382,터짐
TEST_383,훼손
TEST_384,이음부불량
TEST_385,걸레받이수정
TEST_386,훼손
TEST_387,훼손
TEST_388,훼손
TEST_389,꼬임
TEST_390,오염
TEST_391,오염
TEST_392,오염
TEST_393,오염
TEST_394,터짐
TEST_395,훼손
TEST_396,오염
TEST_397,면불량
TEST_398,훼손
TEST_399,오염
TEST_400,훼손
TEST_401,터짐
TEST_402,오염
TEST_403,훼손
TEST_404,꼬임
TEST_405,오염
TEST_406,훼손
TEST_407,오염
TEST_408,훼손
TEST_409,훼손
TEST_410,면불량
TEST_411,훼손
TEST_412,훼손
TEST_413,훼손
TEST_414,훼손
TEST_415,오염
TEST_416,오염
TEST_417,오염
TEST_418,훼손
TEST_419,훼손
TEST_420,훼손
TEST_421,훼손
TEST_422,몰딩수정
TEST_423,오염
TEST_424,이음부불량
TEST_425,오염
TEST_426,훼손
TEST_427,훼손
TEST_428,꼬임
TEST_429,훼손
TEST_430,훼손
TEST_431,훼손
TEST_432,터짐
TEST_433,오염
TEST_434,피스
TEST_435,몰딩수정
TEST_436,오염
TEST_437,터짐
TEST_438,몰딩수정
TEST_439,오염
TEST_440,훼손
TEST_441,꼬임
TEST_442,터짐
TEST_443,훼손
TEST_444,훼손
TEST_445,터짐
TEST_446,터짐
TEST_447,터짐
TEST_448,오염
TEST_449,오염
TEST_450,걸레받이수정
TEST_451,곰팡이
TEST_452,훼손
