id,label
TEST_000,훼손
TEST_001,훼손
TEST_002,훼손
TEST_003,몰딩수정
TEST_004,훼손
TEST_005,훼손
TEST_006,훼손
TEST_007,훼손
TEST_008,오염
TEST_009,오염
TEST_010,몰딩수정
TEST_011,훼손
TEST_012,훼손
TEST_013,오염
TEST_014,훼손
TEST_015,오염
TEST_016,피스
TEST_017,꼬임
TEST_018,훼손
TEST_019,오염
TEST_020,곰팡이
TEST_021,훼손
TEST_022,훼손
TEST_023,석고수정
TEST_024,훼손
TEST_025,훼손
TEST_026,오염
TEST_027,몰딩수정
TEST_028,훼손
TEST_029,훼손
TEST_030,곰팡이
TEST_031,훼손
TEST_032,훼손
TEST_033,오염
TEST_034,곰팡이
TEST_035,훼손
TEST_036,훼손
TEST_037,오염
TEST_038,훼손
TEST_039,훼손
TEST_040,오염
TEST_041,오염
TEST_042,터짐
TEST_043,면불량
TEST_044,훼손
TEST_045,오염
TEST_046,훼손
TEST_047,훼손
TEST_048,오염
TEST_049,오염
TEST_050,오염
TEST_051,훼손
TEST_052,오염
TEST_053,터짐
TEST_054,훼손
TEST_055,이음부불량
TEST_056,훼손
TEST_057,오염
TEST_058,훼손
TEST_059,훼손
TEST_060,오타공
TEST_061,오염
TEST_062,터짐
TEST_063,오염
TEST_064,훼손
TEST_065,오염
TEST_066,오염
TEST_067,울음
TEST_068,훼손
TEST_069,몰딩수정
TEST_070,오염
TEST_071,오염
TEST_072,오염
TEST_073,터짐
TEST_074,오타공
TEST_075,훼손
TEST_076,터짐
TEST_077,오염
TEST_078,훼손
TEST_079,오염
TEST_080,훼손
TEST_081,훼손
TEST_082,오염
TEST_083,훼손
TEST_084,터짐
TEST_085,훼손
TEST_086,훼손
TEST_087,훼손
TEST_088,오염
TEST_089,오염
TEST_090,오염
TEST_091,훼손
TEST_092,훼손
TEST_093,터짐
TEST_094,훼손
TEST_095,오염
TEST_096,터짐
TEST_097,피스
TEST_098,오염
TEST_099,오염
TEST_100,피스
TEST_101,훼손
TEST_102,오염
TEST_103,터짐
TEST_104,훼손
TEST_105,오염
TEST_106,몰딩수정
TEST_107,오염
TEST_108,훼손
TEST_109,훼손
TEST_110,곰팡이
TEST_111,훼손
TEST_112,훼손
TEST_113,훼손
TEST_114,훼손
TEST_115,오염
TEST_116,훼손
TEST_117,훼손
TEST_118,석고수정
TEST_119,훼손
TEST_120,훼손
TEST_121,가구수정
TEST_122,훼손
TEST_123,오염
TEST_124,훼손
TEST_125,훼손
TEST_126,훼손
TEST_127,훼손
TEST_128,훼손
TEST_129,들뜸
TEST_130,꼬임
TEST_131,오염
TEST_132,꼬임
TEST_133,오염
