id,label
TEST_000,훼손
TEST_001,훼손
TEST_002,훼손
TEST_003,훼손
TEST_004,오염
TEST_005,훼손
TEST_006,오염
TEST_007,오염
TEST_008,훼손
TEST_009,오타공
TEST_010,몰딩수정
TEST_011,훼손
TEST_012,오염
TEST_013,오염
TEST_014,훼손
TEST_015,훼손
TEST_016,피스
TEST_017,터짐
TEST_018,오염
TEST_019,오염
TEST_020,들뜸
TEST_021,훼손
TEST_022,오염
TEST_023,터짐
TEST_024,몰딩수정
TEST_025,훼손
TEST_026,훼손
TEST_027,걸레받이수정
TEST_028,훼손
TEST_029,훼손
TEST_030,오염
TEST_031,훼손
TEST_032,훼손
TEST_033,오염
TEST_034,오염
TEST_035,훼손
TEST_036,훼손
TEST_037,훼손
TEST_038,피스
TEST_039,훼손
TEST_040,오염
TEST_041,울음
TEST_042,석고수정
TEST_043,들뜸
TEST_044,면불량
TEST_045,녹오염
TEST_046,들뜸
TEST_047,훼손
TEST_048,오염
TEST_049,오염
TEST_050,터짐
TEST_051,오염
TEST_052,오염
TEST_053,터짐
TEST_054,훼손
TEST_055,오염
TEST_056,훼손
TEST_057,훼손
TEST_058,훼손
TEST_059,오염
TEST_060,오타공
TEST_061,몰딩수정
TEST_062,훼손
TEST_063,오염
TEST_064,훼손
TEST_065,오염
TEST_066,오염
TEST_067,훼손
TEST_068,오염
TEST_069,걸레받이수정
TEST_070,훼손
TEST_071,면불량
TEST_072,오염
TEST_073,오염
TEST_074,훼손
TEST_075,터짐
TEST_076,터짐
TEST_077,오염
TEST_078,훼손
TEST_079,오염
TEST_080,훼손
TEST_081,훼손
TEST_082,오염
TEST_083,오타공
TEST_084,훼손
TEST_085,오염
TEST_086,훼손
TEST_087,터짐
TEST_088,꼬임
TEST_089,들뜸
TEST_090,오염
TEST_091,훼손
TEST_092,훼손
TEST_093,곰팡이
TEST_094,훼손
TEST_095,훼손
TEST_096,훼손
TEST_097,피스
TEST_098,오염
TEST_099,오염
TEST_100,훼손
TEST_101,훼손
TEST_102,훼손
TEST_103,오타공
TEST_104,오타공
TEST_105,오염
TEST_106,꼬임
TEST_107,훼손
TEST_108,훼손
TEST_109,훼손
TEST_110,면불량
TEST_111,훼손
TEST_112,훼손
TEST_113,훼손
TEST_114,오염
TEST_115,오염
TEST_116,훼손
TEST_117,훼손
TEST_118,녹오염
TEST_119,훼손
TEST_120,훼손
TEST_121,훼손
TEST_122,훼손
TEST_123,오타공
TEST_124,훼손
TEST_125,훼손
TEST_126,훼손
TEST_127,훼손
TEST_128,곰팡이
TEST_129,면불량
TEST_130,꼬임
TEST_131,오염
TEST_132,터짐
