id,label
TEST_000,석고수정
TEST_001,석고수정
TEST_002,오염
TEST_003,석고수정
TEST_004,석고수정
TEST_005,석고수정
TEST_006,곰팡이
TEST_007,석고수정
TEST_008,석고수정
TEST_009,꼬임
TEST_010,몰딩수정
TEST_011,꼬임
TEST_012,훼손
TEST_013,곰팡이
TEST_014,석고수정
TEST_015,곰팡이
TEST_016,석고수정
TEST_017,곰팡이
TEST_018,석고수정
TEST_019,곰팡이
TEST_020,석고수정
TEST_021,석고수정
TEST_022,석고수정
TEST_023,면불량
TEST_024,틈새과다
TEST_025,석고수정
TEST_026,면불량
TEST_027,이음부불량
TEST_028,석고수정
TEST_029,석고수정
TEST_030,석고수정
TEST_031,석고수정
TEST_032,석고수정
TEST_033,곰팡이
TEST_034,틈새과다
TEST_035,석고수정
TEST_036,석고수정
TEST_037,석고수정
TEST_038,꼬임
TEST_039,석고수정
TEST_040,곰팡이
TEST_041,석고수정
TEST_042,석고수정
TEST_043,석고수정
TEST_044,석고수정
TEST_045,석고수정
TEST_046,석고수정
TEST_047,석고수정
TEST_048,곰팡이
TEST_049,반점
TEST_050,곰팡이
TEST_051,피스
TEST_052,곰팡이
TEST_053,석고수정
TEST_054,석고수정
TEST_055,석고수정
TEST_056,석고수정
TEST_057,석고수정
TEST_058,곰팡이
TEST_059,석고수정
TEST_060,석고수정
TEST_061,몰딩수정
TEST_062,곰팡이
TEST_063,석고수정
TEST_064,석고수정
TEST_065,곰팡이
TEST_066,곰팡이
TEST_067,곰팡이
TEST_068,석고수정
TEST_069,면불량
TEST_070,곰팡이
TEST_071,피스
TEST_072,석고수정
TEST_073,석고수정
TEST_074,꼬임
TEST_075,석고수정
TEST_076,석고수정
TEST_077,석고수정
TEST_078,석고수정
TEST_079,면불량
TEST_080,석고수정
TEST_081,석고수정
TEST_082,석고수정
TEST_083,석고수정
TEST_084,피스
TEST_085,꼬임
TEST_086,훼손
TEST_087,석고수정
TEST_088,터짐
TEST_089,곰팡이
TEST_090,곰팡이
TEST_091,석고수정
TEST_092,석고수정
TEST_093,석고수정
TEST_094,석고수정
TEST_095,석고수정
TEST_096,오염
TEST_097,울음
TEST_098,석고수정
TEST_099,곰팡이
TEST_100,울음
TEST_101,석고수정
TEST_102,석고수정
TEST_103,면불량
TEST_104,석고수정
TEST_105,석고수정
TEST_106,터짐
TEST_107,석고수정
TEST_108,석고수정
TEST_109,석고수정
TEST_110,석고수정
TEST_111,석고수정
TEST_112,석고수정
TEST_113,석고수정
TEST_114,곰팡이
TEST_115,면불량
TEST_116,석고수정
TEST_117,석고수정
TEST_118,면불량
TEST_119,석고수정
TEST_120,석고수정
TEST_121,석고수정
TEST_122,석고수정
TEST_123,피스
TEST_124,석고수정
TEST_125,석고수정
TEST_126,석고수정
